qid,img,width,height,orientation,n_main,fb_external_1,fb_external_2,fb_external_3,fb_external_4,fb_external_5,fb_comment_1,fb_comment_2,fb_post,comment,edge,external,fb_home
1,1645329105000-2022-02-20-11-51-45-479-Facebook.jpg,360,728,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.0
2,1650722565000-2022-04-23-22-02-45-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.943295955657959,0.0,603,0.0,0.9845957159996033
2,1650722566000-2022-04-23-22-02-46-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.976327657699585,0.0,783,0.0,0.8723635673522949
2,1650722567000-2022-04-23-22-02-47-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9963356256484985,0.0,133,0.0,0.9770211577415466
2,1650722568000-2022-04-23-22-02-48-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.9732658267021179
2,1650722569000-2022-04-23-22-02-49-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.993320107460022
2,1650722570000-2022-04-23-22-02-50-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.993320107460022
2,1650722571000-2022-04-23-22-02-51-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.9861941337585449
2,1650722573000-2022-04-23-22-02-53-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.9861941337585449
2,1650722574000-2022-04-23-22-02-54-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9926735758781433,0.0,271,0.0,0.9769660234451294
2,1650722575000-2022-04-23-22-02-55-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9969033598899841,0.0,120,0.0,0.9831456542015076
2,1650722576000-2022-04-23-22-02-56-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9968791007995605,0.0,120,0.0,0.9831463694572449
2,1650722578000-2022-04-23-22-02-58-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9677098989486694,0.0,683,0.0,0.9755181670188904
2,1650722579000-2022-04-23-22-02-59-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9894847273826599,0.0,479,0.0,0.974082887172699
2,1650722580000-2022-04-23-22-03-00-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9880180358886719,0.0,265,0.0,0.9905378222465515
2,1650722581000-2022-04-23-22-03-01-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.9893619418144226
2,1650722582000-2022-04-23-22-03-02-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.9896261692047119
2,1650722584000-2022-04-23-22-03-04-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9528847336769104,0.0,359,0.0,0.9311461448669434
2,1650722585000-2022-04-23-22-03-05-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9793081879615784,0.0,219,0.0,0.9854035377502441
2,1650722586000-2022-04-23-22-03-06-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.8997843265533447,0.0,310,0.0,0.9930675625801086
2,1650722587000-2022-04-23-22-03-07-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9952275156974792_0.8287609219551086,0.0,165_882,0.0,0.9811017513275146
2,1650722588000-2022-04-23-22-03-08-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.6307467818260193,0.0,933,0.0,0.9660712480545044
2,1650722589000-2022-04-23-22-03-09-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.989838719367981,0.0,752,0.0,0.9586331248283386
2,1650722590000-2022-04-23-22-03-10-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.9808713793754578
2,1650722591000-2022-04-23-22-03-11-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9343789219856262,0.0,197,0.0,0.9878183007240295
2,1650722592000-2022-04-23-22-03-12-2551-Facebook.jpg,540,960,0,0,0,0,0,0,0,0,0,0.9939146041870117,0.0,316,0.0,0.9731156826019287
3,1651995779000-2022-05-08-15-42-59-342-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9880014061927795,0.0,539,0.0,0.995505690574646
3,1651995781000-2022-05-08-15-43-01-342-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0,0.0,,0.0,0.9812225103378296
3,1651997754000-2022-05-08-16-15-54-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.998675525188446,0.0,415,0.0,0.996658205986023
3,1651997755000-2022-05-08-16-15-55-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9945226311683655,0.0,376,0.0,0.9959444999694824
3,1651997756000-2022-05-08-16-15-56-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9982829689979553,0.0,286,0.0,0.9924003481864929
3,1651997757000-2022-05-08-16-15-57-343-Facebook.jpg,360,698,0,0,0,0,0,0,0,0,0,0.9986526370048523,0.0,268,0.0,0.9937404990196228
